BL4B:CS:Autoreduce:Sequence:Total,BL4B:CS:ExpPl:IncidentMedium,BL4B:CS:Autoreduce:Sequence:Num,BL4B:Mot:s1:Y:Gap,BL4B:Mot:si:Y:Gap,+p BL4B:Mot:ths,+p BL4B:Mot:tthd,+p BL4B:Mot:s1:Y:Center,+p BL4B:Mot:s1:X:Gap,+p BL4B:Mot:si:Y:Center,+p BL4B:Mot:si:X:Gap,+p BL4B:Mot:s3:Y:Gap,+p BL4B:Chop:Gbl:WavelengthReq,+p BL4B:Mot:att,Comment,Wait For,Value
20,Air,1,0.39,0.25,0,0,0,20,0,20,10,15,15,,BL4B:Det:Neutrons,300000
,Air,2,0.39,0.25,0,0,0,20,0,20,10,12.386,15,,BL4B:Det:Neutrons,300000
,Air,3,0.39,0.25,0,0,0,18.629,0,18.629,10,9.74,15,,BL4B:Det:Neutrons,300000
,Air,4,0.39,0.25,0,0,0,18.629,0,18.629,10,9.74,64.5,,BL4B:Det:Neutrons,300000
,Air,5,0.39,0.25,0,0,0,20,0,20,10,9.74,64.5,,BL4B:Det:Neutrons,300000
,Air,6,0.39,0.25,0,0,0,6.505,0,6.505,10,7.043,15,,BL4B:Det:Neutrons,300000
,Air,7,0.39,0.25,0,0,0,6.505,0,6.505,10,7.043,64.5,,BL4B:Det:Neutrons,300000
,Air,8,0.39,0.25,0,0,0,20,0,20,10,7.043,64.5,,BL4B:Det:Neutrons,300000
,Air,9,0.39,0.25,0,0,0,3.1,0,3.1,10,4.25,15,,BL4B:Det:Neutrons,300000
,Air,10,0.39,0.25,0,0,0,3.1,0,3.1,10,4.25,64.5,,BL4B:Det:Neutrons,300000
,Air,11,0.39,0.25,0,0,0,8.802,0,8.802,10,4.25,64.5,,BL4B:Det:Neutrons,300000
,Air,12,0.39,0.25,0,0,0,8.802,0,8.802,10,4.25,114,,BL4B:Det:Neutrons,300000
,Air,13,0.39,0.25,0,0,0,20,0,20,10,4.25,114,,BL4B:Det:Neutrons,300000
,Air,14,0.769,0.493,0,0,0,12.438,0,12.438,10,4.25,114,,BL4B:Det:Neutrons,300000
,Air,15,0.769,0.493,0,0,0,12.438,0,12.438,10,4.25,163.5,,BL4B:Det:Neutrons,300000
,Air,16,0.769,0.493,0,0,0,20,0,20,10,4.25,163.5,,BL4B:Det:Neutrons,300000
,Air,17,1.523,0.976,0,0,0,15.873,0,15.873,30,4.25,163.5,,BL4B:Det:Neutrons,300000
,Air,18,1.523,0.976,0,0,0,15.873,0,15.873,30,4.25,213,,BL4B:Det:Neutrons,300000
,Air,19,1.523,0.976,0,0,0,20,0,20,30,4.25,213,,BL4B:Det:Neutrons,300000
,Air,20,3.015,1.932,0,0,0,20,0,20,30,4.25,213,,BL4B:Det:Neutrons,300000
1,DB complete,1,0.2,0.2,0,0,0,10,0,10,1,15,15,,BL4B:Det:Neutrons,1
